Feature ID	Taxon	Confidence	Taxon_Lv1	Taxon_Lv2	Taxon_Lv3	Taxon_Lv4	Taxon_Lv5	Taxon_Lv45
cc60b7a9699fe0f35d1976b238b767ca	Eukaryota	0.999999942	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
bf0d8a9552692e17e083dc0b56809d81	Eukaryota	0.996416623	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
6c416db29ecb39728afe2aa918acf4e5	Eukaryota	0.9998173	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
67312cc06ee5badecadc4601852627be	Eukaryota	0.998894716	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c7a6b0b7730248e2e3d2891f6a619d09	Eukaryota	0.99577682	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
7dee9c84da4b71aab31300095fa3f593	Eukaryota	0.994102775	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
527fca189ab8a1883abee35b52db3d0d	Eukaryota	0.999501715	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
ca1e37c8339c6376c5135d5332f5d4d9	Eukaryota	0.994176969	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5160563972e1a3913e17f779d1804901	Eukaryota	0.995752934	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
412f8d39775d2b76bba6c26278a02026	Eukaryota	0.995398368	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3a7b4315fb4a921671af25b40c91e2a3	Eukaryota	0.997948399	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
f3aaf0ddd640279b1778cec28e620502	Eukaryota	0.998322508	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2a00d4e65872670b85d90b1c1ececad8	Eukaryota	0.996307724	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3dbdc04912e1c21e6d1f4648bd735d35	Eukaryota	0.996059432	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3b10eb90b7f0458ac358698476f95d53	Eukaryota	0.987362705	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
87cd4927a60e38f566eca5961bc7ac15	Eukaryota	0.99036548	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
8da498ddc29379237cc2a56d5ad0e4c4	Eukaryota	0.995284822	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4dd3c4583f74719f5cf1f474fd2e1b14	Eukaryota	0.995911035	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
e859dbf51bffbe26b2594075e46761ea	Eukaryota	0.997755299	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
58641a7e8e9d9cdcd83b56deba32befb	Eukaryota	0.993479739	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a78125e8fe73d3d78c921b341f4a5627	Eukaryota	0.998518759	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
893181cf071dc38b640fede0b02432e6	Eukaryota	0.999939408	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c63f656e4fa1546e516c1d6277d6f1fa	Eukaryota	0.999137744	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
bfcd16c2ac771d231938349f63485de9	Eukaryota	0.995218055	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
34f8b652be64082069244c4e3c40d02e	Eukaryota	0.984829978	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d4e8d5dd173bf6b299adec8f60159820	Eukaryota	0.992907563	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4bdd594c8680837677cf6bfa0c556572	Eukaryota	0.995998149	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d5e8a2cd78e7bf2a2fc7e88fe378e372	Eukaryota	0.993900468	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
33a264fc88da6da2b6e1c3b7462024a2	Eukaryota	0.996755203	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c331feb1a849ad7fc70a04ee53d02811	Eukaryota	0.991129198	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
62dc2e4199d8945553eacdb7ae08f992	Eukaryota	0.990290744	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2b89166e130d3d5dc255522e3584904d	Eukaryota	0.992574693	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
f33cc693a78583e284cd70180099b0e1	Eukaryota	0.99557839	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
bac1090a51daf0b0c0200501c9cdeb19	Eukaryota	0.996830828	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
9a8d9188c1419285f4eb667b0251fba6	Eukaryota	0.989523837	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5af1491c6835e96d4e45024b5af58c59	Eukaryota	0.99948538	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5ae1a02dd225a4f87391772be71144ef	Eukaryota	0.997064951	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
